x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.1223951663,0.0019762744,0.1223951663,0,0.002794874,0,nan
1.6,0.0923071206,0.0015282526,0.0908204459,0.0014866747,0.0021180239,0.0163693831,0.0233225008
3.2,0.0374716547,0.0008803221,0.0443928847,-0.00692123,0.001135238,-0.155908544,-0.0256961319
4.8,0.0165109969,0.0004228547,0.0164176776,9.33192723557E-05,0.0004990784,0.0056840726,0.030398981
6.4,0.010381529,0.0001909389,0.007367906,0.003013623,0.0002249685,0.4090202867,0.0312396563
8,0.0066350203,0.0001392842,0.0043512275,0.0022837928,0.0001560008,0.5248617313,0.0368401663
9.6,0.0041877527,0.0001152258,0.0023204243,0.0018673284,0.0001211642,0.8047357453,0.0538088489
11.2,0.0027370472,9.75412494929E-05,0.0011861033,0.0015509439,9.9403620862E-05,1.3075959855,0.0864254955
12.8,0.0020062397,9.39057108886E-05,0.0007426459,0.0012635938,9.46682249321E-05,1.7014755714,0.1304011432
14.4,0.0015710614,8.90475816851E-05,0.0006156742,0.0009553871,8.96007647893E-05,1.5517737613,0.1476739091
16,0.0012772519,8.81636044575E-05,0.0005351485,0.0007421034,0.000088586,1.3867243083,0.1670429097
17.6,0.0010218373,8.54177155648E-05,0.0003986863,0.000623151,8.56599496831E-05,1.5630106397,0.2163326442
19.2,0.000814125,7.63712812275E-05,0.000274101,0.000540024,7.64994148103E-05,1.9701642421,0.28089919
20.8,0.0006290432,7.90068143003E-05,0.0001859144,0.0004431288,7.90638229812E-05,2.3835092419,0.427007814
22.4,0.0005215955,7.55235142853E-05,0.000148621,0.0003729745,7.55616300328E-05,2.5095680812,0.5100305388
24,0.0004853489,7.52421282057E-05,0.0001271481,0.0003582008,7.52701317989E-05,2.8171940417,0.5937329889
25.6,0.0004814567,7.8222195124E-05,0.0001080628,0.0003733939,7.82416534039E-05,3.4553413601,0.7261850861
27.2,0.0004524363,7.12906862318E-05,9.49791226733E-05,0.0003574572,7.13071795952E-05,3.7635341384,0.7532222276
28.8,0.0004159824,7.24176333541E-05,8.09471151276E-05,0.0003350353,7.24294272967E-05,4.1389401439,0.8972669346
30.4,0.0003952892,0.000073023,7.13881483628E-05,0.0003239011,7.30321224415E-05,4.5371828144,1.0256484506
32,0.0003803959,7.14947426928E-05,6.47255127298E-05,0.0003156704,7.15023808685E-05,4.8770627346,1.107504871
33.6,0.0003515856,0.000069606,0.000058972,0.0002926137,6.96124762902E-05,4.9619108219,1.183149069
35.2,0.0003672821,6.84366969483E-05,5.48835344139E-05,0.0003123985,6.84424343182E-05,5.6920263786,1.2504307809
36.8,0.0003472746,6.83372222635E-05,5.04656112195E-05,0.000296809,6.83420802273E-05,5.8814106507,1.3575563301
38.4,0.0003902114,6.77170919351E-05,4.62951584195E-05,0.0003439163,6.77212176154E-05,7.4287737144,1.4677239296
40,0.0003787987,6.5417472893E-05,4.33985008118E-05,0.0003354002,6.54212258984E-05,7.7283830929,1.5126097605
41.6,0.0003942608,6.59620643283E-05,3.99757845424E-05,0.0003542851,6.59652224241E-05,8.8624916625,1.6563227304
43.2,0.0004202621,6.42685658412E-05,3.66235072962E-05,0.0003836386,6.42712863368E-05,10.4752018303,1.7630509563
44.8,0.0003913149,6.43527958366E-05,3.39092999126E-05,0.0003574056,6.43551249913E-05,10.5400452857,1.9054759058
46.4,0.0003913517,6.41444948259E-05,3.16313594097E-05,0.0003597203,6.41465281443E-05,11.3722696033,2.0362372796
48,0.0003783614,6.25491167429E-05,2.94904938622E-05,0.0003488709,6.25509292202E-05,11.8299454624,2.1296376214
49.6,0.0003985516,6.17735636766E-05,2.75155971005E-05,0.000371036,6.17751613411E-05,13.4845706174,2.2556292937
51.2,0.0004093253,6.24777860895E-05,2.63585536227E-05,0.0003829667,6.24792356903E-05,14.5291259024,2.3819399031
52.8,0.0003941403,6.08560742247E-05,2.47981944068E-05,0.0003693421,6.08573914724E-05,14.893910909,2.4658607137
54.4,0.0004122589,5.99383543028E-05,0.000023388,0.000388871,5.9939543932E-05,16.6269701376,2.5768608132
56,0.000399805,6.22051569638E-05,2.21967688178E-05,0.0003776082,6.22061894529E-05,17.0118544255,2.8159178893
57.6,0.0003999289,6.05844586062E-05,2.08619279318E-05,0.0003790669,6.05853950469E-05,18.1702732636,2.9188952303
59.2,0.0003991073,6.14981324497E-05,1.98036948568E-05,0.0003793036,0.000061499,19.1531750774,3.120789899
60.8,0.0004031858,5.85088013152E-05,1.85848869435E-05,0.0003846009,5.85095708562E-05,20.6942827118,3.1659167165
62.4,0.0004010458,5.94102129503E-05,1.73989220045E-05,0.0003836468,5.94108771782E-05,22.0500350841,3.4331410089
64,0.0004214793,6.04861902678E-05,1.64188324283E-05,0.0004050605,6.04867712491E-05,24.670480635,3.7054611788
65.6,0.0004218094,5.75258535384E-05,1.53973959859E-05,0.000406412,5.75263907748E-05,26.3948507145,3.7603413945
67.2,0.000432846,5.81947997678E-05,1.44891571347E-05,0.0004183568,5.81952700259E-05,28.8737856345,4.043438012
68.8,0.0004425732,5.68948455281E-05,1.38956752564E-05,0.0004286775,5.68952879337E-05,30.8497068768,4.1246487251
70.4,0.0004913303,5.854257239E-05,1.31682144059E-05,0.0004781621,0.000058543,36.3118387331,4.4842734128
72,0.0004896079,5.94056878049E-05,1.26716115579E-05,0.0004769363,0.000059406,37.6381746165,4.7273470065
73.6,0.0005058677,5.67604048728E-05,1.20766220449E-05,0.0004937911,5.67607398229E-05,40.8881785477,4.7461936489
75.2,0.0005146694,5.81902986779E-05,1.12283686668E-05,0.000503441,5.81905811123E-05,44.8365225592,5.2327831416
76.8,0.0005212453,5.65432295616E-05,1.04614912361E-05,0.0005107838,5.65434818757E-05,48.8251432714,5.4621089769
78.4,0.0005377259,5.63558273012E-05,9.73970649633E-06,0.0005279862,0.000056356,54.209665459,5.8520472359
80,0.0005329682,5.5332464156E-05,8.95979532682E-06,0.0005240084,5.5332653282E-05,58.4844148047,6.2474425103
81.6,0.0005406208,5.55202019439E-05,8.41051971065E-06,0.0005322103,5.55203680287E-05,63.2791248994,6.6799053612
83.2,0.0005337257,5.62415149518E-05,8.01438663453E-06,0.0005257113,5.62416638259E-05,65.5959539236,7.0970665684
84.8,0.0005223945,0.000054781,7.60125387634E-06,0.0005147932,5.4781173391E-05,67.7247735511,7.2893511144
86.4,0.000551521,5.59968357121E-05,7.18660710705E-06,0.0005443344,0.000055997,75.7428866251,7.8872444773
88,0.0005423546,5.45093663502E-05,6.89848553427E-06,0.0005354561,5.45094801579E-05,77.6193751529,8.000435087
89.6,0.0005503743,5.48972378091E-05,6.5956182245E-06,0.0005437787,5.48973411081E-05,82.4454517767,8.4290894467
91.2,0.0005613932,5.47481548703E-05,6.28717134695E-06,0.000555106,5.47482489892E-05,88.2918491086,8.8238561997
92.8,0.0005737116,5.47157506076E-05,6.04072669719E-06,0.0005676709,5.4715837544E-05,93.9739420035,9.1840389156
94.4,0.0005834236,5.38767923679E-05,5.81142760693E-06,0.0005776122,5.38768740825E-05,99.3924804558,9.4087315338
