x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,0.0277095835,0.0004719247,0.0277095835,0,0.0006674024,0,nan
3.2,0.020782898,0.0005569178,0.0211270029,-0.0003441049,0.0006630423,-0.0162874444,-0.0313848675
6.4,0.0100148854,0.0003755219,0.0100152583,-3.72948192669E-07,0.0004124453,-0.000037238,-0.0411816915
9.6,0.0046978954,0.0001768329,0.0031907469,0.0015071485,0.0001849944,0.4723497636,0.058533843
12.8,0.0029338652,0.0001091185,0.0012659733,0.0016678919,0.0001112283,1.3174778741,0.0906798001
16,0.0020340103,8.38224319879E-05,0.0008705444,0.0011634659,8.51235582095E-05,1.3364809185,0.1003962835
19.2,0.0014043555,0.000075604,0.000502256,0.0009020994,7.60863542449E-05,1.7960948365,0.1545467188
22.4,0.0010186324,6.63976370854E-05,0.0002511411,0.0007674913,6.65352592716E-05,3.0560168684,0.2699959243
25.6,0.000755346,6.19484487061E-05,0.0001362065,0.0006191395,6.19918665693E-05,4.5455952086,0.4616687513
28.8,0.0006280002,6.21962916276E-05,9.93901440981E-05,0.0005286101,6.22193218029E-05,5.3185361311,0.6325303022
32,0.0005279769,5.86655659976E-05,8.68064330937E-05,0.0004411705,5.86841914622E-05,5.082232465,0.6815536187
35.2,0.0004714645,0.00005739,6.97038126474E-05,0.0004017607,5.74023145093E-05,5.7638270405,0.82934759
38.4,0.0004205367,0.000054816,0.000051414,0.0003691227,0.000054823,7.1794255389,1.0732930525
41.6,0.0003661872,5.27575060335E-05,4.01063384449E-05,0.0003260808,5.27619276295E-05,8.1304067058,1.3228181734
44.8,0.0003079015,5.25565201338E-05,3.22272372286E-05,0.0002756743,5.25593860481E-05,8.5540764296,1.6373935071
48,0.0002614574,5.27321862338E-05,2.57185335236E-05,0.0002357389,0.000052734,9.1661098361,2.0563622354
51.2,0.0002122291,5.38772846706E-05,2.08766840323E-05,0.0001913524,5.387845786E-05,9.16584237,2.5855125977
54.4,0.0001803234,0.000050257,1.72575599794E-05,0.0001630658,5.02578970389E-05,9.4489496927,2.9166678664
57.6,0.0001655126,5.06447711283E-05,1.4619427552E-05,0.0001508932,5.06453831671E-05,10.3214150016,3.4687091652
60.8,0.0001363407,5.17173741676E-05,1.26729352649E-05,0.0001236677,5.17178245398E-05,9.7584120114,4.0843492781
64,0.0001183887,5.04029050091E-05,1.13296775103E-05,0.000107059,5.04032743551E-05,9.4494329576,4.451692731
67.2,9.24976618779E-05,0.000047712,1.00731271764E-05,8.24245347015E-05,4.77122593982E-05,8.1826163076,4.7386382573
70.4,7.05727659412E-05,0.000048973,0.000009113,6.1459799675E-05,4.89732623603E-05,6.7442145487,5.3752472854
73.6,5.405686907E-05,4.84004884677E-05,8.21036101308E-06,4.5846508057E-05,4.84006904575E-05,5.5839819935,5.8958416287
76.8,0.000034714,4.72186131284E-05,7.3363853996E-06,2.7377590779E-05,4.72187784409E-05,3.7317547113,6.4365594158
80,2.79178450042E-05,4.6482297047E-05,6.80294362927E-06,2.11149013749E-05,4.64824414449E-05,3.1037889663,6.8328998465
83.2,1.27262116159E-05,4.61737488423E-05,6.40951946697E-06,6.31669214891E-06,4.61738778783E-05,0.9855172734,7.2039726911
86.4,-1.20618838997E-06,4.65554770294E-05,5.93453164325E-06,-7.14072003322E-06,4.65555867422E-05,-1.2032491294,-7.8448896027
89.6,-5.47678632931E-06,4.61407943678E-05,5.52040068009E-06,-1.09971870094E-05,4.61408901558E-05,-1.992099423,-8.3583190712
92.8,-3.12638291129E-07,4.44435364704E-05,5.13622384558E-06,-5.44886213671E-06,4.44436225567E-05,-1.0608692885,-8.6529950365
96,2.65110464927E-06,4.43184509631E-05,4.73068966991E-06,-2.07958502063E-06,4.43185241982E-05,-0.4395944705,-9.3683038717
99.2,-1.87549142373E-06,4.34267457772E-05,4.34279215017E-06,-6.2182835739E-06,4.3426808762E-05,-1.4318630408,-9.9997735083
102.4,-1.02480350281E-06,0.000044106,3.95354442151E-06,-4.97834792432E-06,4.41060760353E-05,-1.2592113288,-11.1561052127
105.6,-1.06378862543E-05,4.36406219491E-05,3.49832639399E-06,-1.41362126483E-05,4.36406626202E-05,-4.0408501255,-12.4749156583
108.8,-0.000018707,4.26093719637E-05,3.15205922158E-06,-2.18590940162E-05,4.2609405781E-05,-6.9348614603,-13.5184744657
112,-2.49974800646E-05,4.33563093525E-05,2.89488634013E-06,-2.78923664047E-05,4.33563373853E-05,-9.6350471582,-14.9777692836
115.2,-2.39954850248E-05,4.19767657528E-05,2.67289674942E-06,-2.66683817742E-05,4.19767904365E-05,-9.9773333108,-15.7055253139
118.4,-3.24473114414E-05,4.23541669448E-05,2.46327600118E-06,-3.49105874426E-05,4.23541877219E-05,-14.1724221832,-17.1959458611
121.6,-3.17847544526E-05,4.15344436519E-05,2.32622701311E-06,-0.000034111,4.15344625471E-05,-14.6636511714,-17.8566085798
124.8,-3.18452142055E-05,4.19229045781E-05,2.15765130559E-06,-3.40028655111E-05,4.19229206833E-05,-15.7592032702,-19.4317405012
128,-3.50903110701E-05,4.11592794196E-05,2.03982624439E-06,-3.71301373145E-05,4.11592940809E-05,-18.2025980971,-20.1802245261
131.2,-2.5323942056E-05,4.06281677828E-05,1.93423739481E-06,-2.72581794508E-05,4.06281811379E-05,-14.0924684446,-21.00612544
134.4,-2.66537339386E-05,4.13734235647E-05,0.000001803,-2.8456744592E-05,4.13734349601E-05,-15.782904298,-22.9484353761
137.6,-1.73771216996E-05,3.93618051813E-05,0.00000171,-1.9087143742E-05,3.93618159554E-05,-11.1619284828,-23.0190940784
140.8,-2.89785804624E-05,3.98918892547E-05,1.62948281946E-06,-3.06080632819E-05,3.98918989078E-05,-18.7839128565,-24.4834153936
144,-2.41335998503E-05,4.01274566507E-05,1.56577295548E-06,-2.56993728058E-05,4.01274655115E-05,-16.4132179675,-25.6294198564
147.2,-1.29615580327E-05,3.9147418095E-05,1.46484821996E-06,-1.44264062527E-05,3.91474260444E-05,-9.8483966162,-26.725087643
150.4,-0.000021241,4.00651389453E-05,1.39527797964E-06,-2.26362679176E-05,4.00651459924E-05,-16.2234825231,-28.7161421163
153.6,-1.57492243719E-05,3.89111224563E-05,0.00000131,-1.7059227872E-05,3.89111288526E-05,-13.0222765598,-29.7039004192
156.8,-2.49725163983E-05,3.91213806868E-05,1.24914292781E-06,-2.62216593261E-05,3.91213864713E-05,-20.9917205969,-31.3206235002
160,-1.47888928866E-05,3.85156009146E-05,1.19351759812E-06,-1.59824104847E-05,3.85156062785E-05,-13.3910136808,-32.2714706244
163.2,-1.6011136081E-05,3.87515236998E-05,1.13584532251E-06,-0.000017147,3.87515285282E-05,-15.0962292697,-34.1178751391
166.4,-1.50651426795E-05,3.82117008915E-05,0.000001084,-1.61491858071E-05,3.82117053517E-05,-14.8971801918,-35.2501613603
169.6,-6.88723311825E-06,0.00003815,1.04110387001E-06,-7.92833698826E-06,0.00003815,-7.6153179492,-36.6440712096
172.8,2.18515532888E-07,0.000039125,9.91700055392E-07,-7.73184522503E-07,0.000039125,-0.779655621,-39.4524166919
176,-3.10267734205E-06,3.67044543887E-05,9.54279676734E-07,-0.000004057,3.67044579869E-05,-4.2513291624,-38.4630668716
179.2,3.62605783115E-06,0.000037392,9.25413105991E-07,2.70064472515E-06,0.000037392,2.9183125976,40.4057407922
182.4,-1.4635642689E-06,3.74306197204E-05,8.92371461682E-07,-2.35593573058E-06,3.74306228059E-05,-2.6400841261,-41.9451382288
185.6,4.28916516312E-07,3.73619204443E-05,8.57078926323E-07,-4.28162410011E-07,3.73619232958E-05,-0.4995600718,-43.5921627051
188.8,-2.27411080193E-06,3.76916324568E-05,8.24213311525E-07,-3.09832411346E-06,3.76916350707E-05,-3.7591289417,-45.7304820013
192,-1.9643119459E-06,3.72457038152E-05,7.96498576082E-07,-2.76081052198E-06,3.72457062855E-05,-3.4661838764,-46.7618362207
195.2,-7.24133765848E-06,3.69860693273E-05,7.64545111301E-07,-8.00588276978E-06,3.69860716193E-05,-10.4714328186,-48.3769007175
198.4,-1.15737541977E-05,3.68893524036E-05,7.41762503445E-07,-1.23155167012E-05,3.68893545667E-05,-16.6030456433,-49.732833196
201.6,-7.25418715337E-06,3.66746968846E-05,7.20435174409E-07,-7.97462232777E-06,3.6674698937E-05,-11.0691740368,-50.9066626981
204.8,-1.71025896531E-05,3.66447449166E-05,6.92420792531E-07,-0.000017795,3.66447468142E-05,-25.6997054936,-52.924465073
208,-1.39994255381E-05,3.64047856503E-05,6.78949597041E-07,-1.46783751351E-05,3.64047874867E-05,-21.6192412501,-53.6205426184
211.2,-1.1615080163E-05,3.74041791578E-05,6.54826446972E-07,-1.226990661E-05,3.74041808204E-05,-18.7376466951,-57.1216460891
214.4,-1.02808258496E-05,0.000036871,6.41307806413E-07,-1.0922133656E-05,0.000036871,-17.0310318178,-57.4942466912
217.6,-1.41973593714E-05,3.65859228894E-05,0.000000621,-1.48183435911E-05,3.6585924418E-05,-23.8626733502,-58.9174308929
220.8,-0.000011253,3.80012102854E-05,0.000000608,-0.000011861,3.80012116961E-05,-19.5085966657,-62.5041988413
224,-2.85843089156E-06,3.83033907783E-05,5.88251959263E-07,-3.44668285082E-06,3.83033920885E-05,-5.859194851,-65.1139982885
227.2,1.20847945572E-06,3.85548147465E-05,5.71704282376E-07,6.36775173341E-07,3.8554815976E-05,1.1138191421,67.438391997
230.4,-3.98536028372E-06,3.91330569887E-05,5.56392696859E-07,-4.54175298058E-06,3.9133058136E-05,-8.1628551313,-70.3336596679
233.6,-1.28932610313E-06,3.95465004828E-05,5.33675163927E-07,-0.000001823,3.95465015273E-05,-3.4159379905,-74.1022187056
236.8,1.74909364296E-06,3.95623394632E-05,5.18388734085E-07,1.23070490887E-06,3.95623404484E-05,2.3740965572,76.3179124072
240,-1.88280101458E-06,3.97239033476E-05,5.07510601685E-07,-2.39031161626E-06,3.97239042879E-05,-4.7098752387,-78.2721090277
243.2,-2.0089247864E-06,4.18291388277E-05,4.89064994022E-07,-0.000002498,4.1829139657E-05,-5.107684686,-85.5288393227
246.4,-2.79151641815E-06,4.19070869487E-05,4.73792925648E-07,-3.2653093438E-06,4.19070877256E-05,-6.8918490907,-88.4502962289
249.6,-0.000010459,4.2251073019E-05,0.000000466,-0.000010925,4.22510737643E-05,-23.445044279,-90.6720673658
252.8,-1.01522955782E-05,4.33129139335E-05,4.46293613406E-07,-1.05985891916E-05,4.33129146004E-05,-23.7480189571,-97.0511103551
256,-5.17124293421E-06,4.3555199708E-05,4.33344827746E-07,-5.60458776195E-06,4.35552003333E-05,-12.9333210024,-100.509576064
259.2,-8.23853296356E-06,4.57912769039E-05,4.21145242269E-07,-8.65967820583E-06,4.57912774656E-05,-20.5622130721,-108.730932647
262.4,-4.97420022683E-06,4.60268019543E-05,4.12050745468E-07,-5.3862509723E-06,4.60268024893E-05,-13.0718146528,-111.702003723
265.6,-2.72218941095E-06,4.91795177643E-05,3.99199835202E-07,-3.12138924615E-06,4.91795182343E-05,-7.8191145659,-123.195308789
268.8,-5.27332639475E-06,4.90160857966E-05,3.86575662587E-07,-5.65990205734E-06,4.90160862388E-05,-14.6411236017,-126.795827483
272,0.000000685,4.97550706241E-05,3.75174605968E-07,3.0978463988E-07,4.97550710344E-05,0.8257079103,132.618440914
275.2,-3.40366781567E-06,5.02853046992E-05,3.63450204761E-07,-3.76711802043E-06,5.02853050802E-05,-10.3648807212,-138.355530828
278.4,-0.000000276,5.28767542698E-05,3.5446696755E-07,-6.30485513563E-07,5.28767546145E-05,-1.7786862283,-149.172590242
281.6,-0.000000862,5.40594174683E-05,3.46599528777E-07,-1.20855765335E-06,5.40594177906E-05,-3.4868992973,-155.970845949
284.8,-4.56660593303E-06,5.39151311162E-05,3.34284972601E-07,-4.90089090563E-06,5.39151314168E-05,-14.6608172886,-161.285132282
