x_axis(arcsec),Stellar_Profile(Jy/arcsec^2),Stellar_Unc(Jy/arcsec^2),PSF_Profile(Jy/arcsec^2),Residual_Profile(Jy/arcsec^2),Residual_Unc(Jy/arcsec^2),FractionalResidual_Profile(Jy/arcsec^2),FractionalResidual_Unc(Jy/arcsec^2)
0,2.2383341137,0.0262010747,2.2383341137,0,0.0370539151,0,nan
1.6,1.4897368479,0.0285692271,1.6609030286,-0.1711661807,0.0345570224,-0.1030560952,-0.0208411071
3.2,0.639303412,0.0207655968,0.8118466704,-0.1725432584,0.0228368152,-0.2125318298,-0.0282392673
4.8,0.2324027613,0.0068974017,0.3002426407,-0.0678398793,0.0077411906,-0.2259501821,-0.0259184192
6.4,0.1300408122,0.0024490454,0.1347425375,-0.0047017253,0.002912992,-0.0348941424,-0.0216228071
8,0.0811668261,0.0013775397,0.0795742287,0.0015925974,0.001662902,0.0200139851,0.020898807
9.6,0.0455965009,0.0008826824,0.0424353761,0.0031611248,0.0010128529,0.0744926768,0.0238840482
11.2,0.0277685325,0.000352911,0.0216911788,0.0060773537,0.0004347594,0.280176276,0.0203096936
12.8,0.0212054382,0.000201329,0.013581334,0.0076241042,0.0002565293,0.5613663756,0.0199987649
14.4,0.0184576172,0.0001550533,0.0112593061,0.0071983111,0.0002034994,0.6393210187,0.019561957
16,0.0156492826,0.0001393296,0.0097866703,0.0058626123,0.0001803787,0.5990405373,0.0197198934
17.6,0.0126253187,0.0001373957,0.0072910821,0.0053342366,0.0001617456,0.7316111079,0.0237796633
19.2,0.0098324126,0.0001186106,0.005012695,0.0048197176,0.0001323307,0.9615022679,0.028698217
20.8,0.0079601104,0.000104356,0.0033999597,0.0045601507,0.0001116875,1.3412366819,0.0364086616
22.4,0.0070144261,9.99071224945E-05,0.0027179457,0.0042964804,0.0001048506,1.5807822931,0.0427854488
24,0.0062971725,9.26711400531E-05,0.0023252545,0.0039719181,9.65856543706E-05,1.7081648761,0.0460997051
25.6,0.0057301904,9.003049067E-05,0.0019762273,0.003753963,0.000092955,1.8995603188,0.052027464
27.2,0.0052119069,8.37985120177E-05,0.0017369559,0.003474951,8.62298460131E-05,2.0005982448,0.0548904676
28.8,0.0047273158,0.000078885,0.0014803419,0.0032469739,8.07657691542E-05,2.1933946403,0.0602982315
30.4,0.0044191534,7.93669017881E-05,0.0013055297,0.0031136237,8.08247823445E-05,2.3849504231,0.0679129651
32,0.0042221698,7.60914072085E-05,0.001183685,0.0030384848,7.73426423334E-05,2.5669707954,0.0719184909
33.6,0.0040388127,7.2659148633E-05,0.0010784656,0.0029603471,7.37476766585E-05,2.7449621364,0.0755548463
35.2,0.0038638023,7.31674096627E-05,0.0010036972,0.0028601051,7.41046982223E-05,2.8495695916,0.0810169364
36.8,0.0037087282,7.18365562638E-05,0.0009229033,0.0027858249,7.26443311574E-05,3.0185448857,0.0862797546
38.4,0.0035609335,7.09725758154E-05,0.000846635,0.0027142985,7.16611624052E-05,3.2059843038,0.0925887489
40,0.0033610931,6.79066959924E-05,0.0007936616,0.0025674315,6.8539251279E-05,3.2349196309,0.0942954979
41.6,0.0032314943,6.69226127795E-05,0.0007310678,0.0025004265,6.74675371473E-05,3.420238929,0.1005964281
43.2,0.0030904651,6.98316943032E-05,0.0006697621,0.002420703,7.02704117218E-05,3.6142727896,0.1131273171
44.8,0.0029349263,6.72675494922E-05,0.0006201253,0.002314801,6.76580781206E-05,3.7327954519,0.1175282078
46.4,0.0028233734,6.53207122035E-05,0.0005784669,0.0022449065,6.56707399187E-05,3.8807865294,0.1222769372
48,0.0026806833,6.47728375214E-05,0.0005393152,0.0021413681,6.50797560721E-05,3.9705313563,0.1293122956
49.6,0.0025634927,6.32388001729E-05,0.0005031988,0.0020602939,6.35125255413E-05,4.0943935887,0.1350107706
51.2,0.0024491787,6.44648861375E-05,0.0004820391,0.0019671396,6.47113596013E-05,4.0808719239,0.1424907826
52.8,0.0023479406,6.25149289773E-05,0.0004535036,0.001894437,6.27399148594E-05,4.1773365435,0.1467322718
54.4,0.0022523741,6.26257616427E-05,0.0004277136,0.0018246605,6.28255725366E-05,4.2660805127,0.1551435139
56,0.0021500297,6.41033547687E-05,0.0004059293,0.0017441004,6.42792212636E-05,4.2965618512,0.1661458533
57.6,0.0020995554,0.000061907,0.000381518,0.0017180374,6.20678604905E-05,4.5031614493,0.1710131617
59.2,0.0020268744,6.27196777937E-05,0.0003621653,0.001664709,6.28627888275E-05,4.5965444647,0.1817229843
60.8,0.0020322665,6.02206107014E-05,0.0003398761,0.0016923905,6.03518854729E-05,4.9794341953,0.1868919915
62.4,0.0020514486,6.05649450282E-05,0.0003181874,0.0017332612,6.06793626721E-05,5.4472965592,0.2010809756
64,0.0020363428,6.0681331856E-05,0.0003002638,0.0017360791,0.000060783,5.7818469162,0.2134464002
65.6,0.0020798776,5.83722604281E-05,0.000281584,0.0017982936,5.84652473666E-05,6.3863493162,0.2206777057
67.2,0.0021406241,5.96608001809E-05,0.0002649743,0.0018756498,5.97413720972E-05,7.0786100132,0.2402048165
68.8,0.0021946928,5.83278839086E-05,0.0002541209,0.001940572,5.84036859082E-05,7.6364137745,0.2465979744
70.4,0.002203066,5.91704874021E-05,0.0002408172,0.0019622488,5.92375966081E-05,8.1482909423,0.2638303634
72,0.0021234168,6.02078663128E-05,0.0002317355,0.0018916814,6.02689422197E-05,8.1631069973,0.2770746721
73.6,0.0020208473,5.84445877588E-05,0.0002208544,0.0017999929,5.85017374707E-05,8.1501324938,0.2815446108
75.2,0.0018413759,5.88135306573E-05,0.0002053418,0.0016360341,5.88626276082E-05,7.96737091,0.3014467356
76.8,0.0016934961,5.71364587264E-05,0.0001913173,0.0015021788,5.71803306673E-05,7.8517668519,0.3126896741
78.4,0.0015226597,0.000057385,0.0001781175,0.0013445422,5.74228238668E-05,7.5486264589,0.334277342
80,0.0014067964,5.59317781407E-05,0.0001638546,0.0012429418,5.59646549461E-05,7.5856370803,0.3529041014
81.6,0.0012638537,5.59948255582E-05,0.0001538096,0.0011100441,5.60237633404E-05,7.2170008372,0.373909428
83.2,0.0011521011,5.6897224962E-05,0.0001465652,0.0010055359,5.69230850794E-05,6.8606717138,0.396596647
84.8,0.0010772889,5.57386659842E-05,0.0001390099,0.0009382789,5.57624125648E-05,6.749725029,0.4088466779
86.4,0.0009488292,5.70402846482E-05,0.000131427,0.0008174022,0.000057061,6.2194393798,0.4402267911
88,0.0008671353,5.47315792783E-05,0.0001261579,0.0007409774,5.47514984004E-05,5.873413368,0.4394038882
89.6,0.0007731545,5.62708549729E-05,0.0001206191,0.0006525353,5.62885658001E-05,5.4098831544,0.4709407588
91.2,0.0006923493,5.57847971026E-05,0.0001149783,0.000577371,0.000055801,5.0215644669,0.4888645766
92.8,0.0006493412,5.47278837383E-05,0.0001104714,0.0005388698,5.47431590048E-05,4.8779124149,0.498820266
94.4,0.0005884988,5.45742547931E-05,0.000106278,0.0004822208,5.4588432341E-05,4.5373514405,0.5163767301
96,0.0005415961,5.43662400189E-05,0.0001020992,0.0004394969,5.43793747557E-05,4.3046062682,0.5349912719
97.6,0.0004769895,5.31831851509E-05,0.000099239,0.0003777506,5.31958703386E-05,3.8064732477,0.5378866936
99.2,0.0004538048,5.37911348917E-05,9.6302816029E-05,0.000357502,5.38029456553E-05,3.7122692354,0.5603724592
100.8,0.0004551431,5.3072615394E-05,9.41563209809E-05,0.0003609868,5.30840583978E-05,3.8339092989,0.5655698232
102.4,0.0004030575,0.000054298,9.38530865835E-05,0.0003092045,5.43091019701E-05,3.2945582256,0.5799444498
104,0.0003815323,5.25030611933E-05,9.19244529612E-05,0.0002896078,5.25140864897E-05,3.1504981899,0.572463503
105.6,0.0003649136,5.34295694981E-05,9.07376223258E-05,0.000274176,5.34401257222E-05,3.021634973,0.5900133743
107.2,0.0003597153,5.31620612215E-05,9.00298892164E-05,0.0002696854,5.31725057142E-05,2.9955099046,0.5916494378
108.8,0.0003405558,5.18572583253E-05,8.81265723987E-05,0.0002524292,5.18675176703E-05,2.8643935742,0.5895113712
110.4,0.000339693,5.30262468624E-05,8.59951663726E-05,0.0002536979,5.30358006692E-05,2.9501408152,0.6176960903
112,0.0003438133,5.19266154348E-05,8.40291657528E-05,0.0002597841,5.19359305777E-05,3.0915946719,0.6191288429
113.6,0.0003338604,5.18478584246E-05,8.05886806411E-05,0.0002532718,5.18564394604E-05,3.1427707724,0.6445212635
115.2,0.0003174033,5.04238282499E-05,7.80673121277E-05,0.000239336,5.04321081552E-05,3.0657645035,0.6470040091
