x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.521400657,0.29532471375,0.348018330762
4.0,107.655630399,41.2389126419,41.4724143002
8.0,96.9058232783,33.547175919,28.6737766211
12.0,97.2129757151,28.7984454889,22.1507248745
16.0,89.62460635,28.6872801188,22.009125658
20.0,83.3752467793,29.0073907654,22.0137920185
24.0,81.7972683272,28.0026512128,20.6211100297
28.0,80.0937424265,27.5401767155,20.4080363876
32.0,77.8450781919,26.8518537201,20.2855336173
36.0,74.8901064748,27.0093783575,19.788917909
40.0,71.4403217456,26.7850103724,19.6025167843
44.0,68.9369474025,27.5088781798,19.4682285632
48.0,66.8881148273,26.6195862528,18.9092480731
52.0,65.3754364847,27.28241514,18.4851478903
56.0,64.1678603092,26.8987185183,18.284175401
60.0,61.5706716894,27.6260166998,17.8333563766
64.0,59.9005865519,28.0122066017,19.0311686159
68.0,60.3644363394,27.4099250854,18.4346164216
72.0,60.0375310983,26.9623030618,17.4827606194
76.0,59.5819275058,27.2065172103,17.3653636018
80.0,60.0950850611,26.3608259416,17.7301000104
84.0,60.2847566389,26.3614939537,17.1187796069
88.0,59.396581877,27.2840867614,17.1615544878
92.0,59.8502300711,26.9914415043,17.1428375699
96.0,59.0180913922,26.4743692608,16.970664833
100.0,58.7876117616,26.3355204177,17.2492548812
104.0,57.8583335209,26.5373470492,17.3055532183
108.0,59.2101465199,26.0305027391,16.9186605203
112.0,58.2112346718,26.3420840387,16.7123487053
116.0,58.0598836218,26.1992880256,16.9293622246
120.0,58.4188337645,26.1298790605,16.9998499819
124.0,57.9986605569,25.8084349106,16.3702308691
128.0,57.2204869551,26.2467493225,16.99308406
132.0,56.4369420486,26.6903729676,17.1032412435
136.0,57.9044510517,26.2821462959,16.1827308676
140.0,58.0149643173,25.8763146802,16.5015855249
