x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.5353933122,0.313237692344,0.344017217284
4.0,109.27177545,40.5926400317,40.6522606199
8.0,107.340195956,31.101068908,25.800468027
12.0,78.2867573978,18.7972121625,13.824967148
16.0,93.086444873,20.8888245402,20.8266670791
20.0,87.535280881,9.72837210767,9.29183014612
24.0,54.4594796193,12.7130300576,8.2768793982
28.0,40.1355020792,4.19081585354,3.7938011982
32.0,37.4350908001,3.81140850864,3.56871182546
36.0,34.5568407879,3.49622518455,3.1750223527
40.0,33.8423122202,3.31975147132,3.05985874195
44.0,32.192623139,3.2277701082,2.7783924963
48.0,30.8023947948,3.8573927499,2.94854540475
52.0,30.2639411666,3.4366842366,2.783714629
56.0,29.1692867062,3.16614111422,2.61405580246
60.0,28.2127992352,3.06205723931,2.56769582563
64.0,27.5022549865,3.29757678455,2.79102101207
68.0,26.9119629276,3.43207562419,2.78792447649
72.0,26.1738679813,3.50805926764,2.94452724272
76.0,24.7459238029,3.2827457426,2.99960291956
80.0,25.0599732466,3.1901385999,2.86438645095
84.0,24.975790439,3.4563273616,3.05305458926
88.0,20.5457583494,4.6741170547,4.25306195998
92.0,20.937199251,5.68896032155,4.84447672365
96.0,21.7135655695,8.8315420869,6.1075627808
100.0,22.0593567599,10.3124933663,6.61952265046
104.0,26.8493333621,30.4421886502,17.4196038923
108.0,26.620042597,30.2628030257,17.2509202639
112.0,26.4283732079,30.0758087054,17.1138163533
116.0,26.1523479808,30.160279862,17.0350834563
120.0,26.3535770822,30.1049564493,17.0867543008
124.0,25.963086145,30.0849052653,16.9015415682
128.0,26.4158054125,30.1611532376,17.1273780547
132.0,25.6708604774,29.703695633,16.699177552
136.0,25.7961431687,29.8590706596,16.7457360993
140.0,26.0624714348,30.0960612066,16.9415031483
