x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.544659296,0.298455249118,0.383765128206
4.0,109.399501148,40.2351575605,40.9611458111
8.0,103.686892708,31.114641091,24.637006955
12.0,56.848389396,6.68330156081,5.33955090014
16.0,45.4390532272,5.03140535392,4.66460327675
20.0,39.0729451574,4.46554952893,3.41898910875
24.0,33.1942181824,2.699717385,2.6417171984
28.0,31.4741381224,2.53509708408,2.434201555
32.0,29.639451282,2.54712960873,2.37262001205
36.0,28.2227600072,2.56158130635,2.3111549475
40.0,26.871643344,2.6901676843,2.4541122494
44.0,26.3344575215,3.17176948089,2.83840654856
48.0,25.7471308278,3.41252473489,2.90323516202
52.0,20.5290803333,5.03445769092,4.53389572047
56.0,20.5858011211,5.31852717545,4.69025817915
60.0,20.8189485118,5.98332652025,5.08257654571
64.0,20.6641515099,5.63253460945,4.87568321765
68.0,22.2193318161,12.1815934118,7.04834490444
72.0,28.4552524437,32.0863542964,18.5995237654
76.0,28.3105081623,31.8679661021,18.4023185529
80.0,27.7370722035,32.0588045904,18.0533535723
84.0,27.1016112168,31.0997637119,17.5631414173
88.0,27.2720463143,30.8874922875,17.7967905472
92.0,26.7942375281,30.4563080662,17.3916856817
96.0,26.4735808972,30.7451918642,17.1845735819
100.0,26.8247476301,30.3242612555,17.4656223768
104.0,26.4448978954,30.6703288549,17.2594566387
108.0,26.1184819681,30.1490367249,16.9758690582
112.0,26.1154543736,30.3410451392,17.0192038319
116.0,26.0253372868,30.3821913468,16.9701074185
120.0,25.4274941199,30.0734393348,16.5066260711
124.0,25.6198011737,29.7681327216,16.6545499077
128.0,25.2528335713,29.591931768,16.3067649208
132.0,25.4161397222,29.8727985202,16.5848652189
136.0,25.3350845818,29.6107292294,16.4871472434
140.0,25.0449454848,29.1923267693,16.2921811314
