x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.4829461556,0.350884105624,0.381906670036
4.0,107.465992407,40.6450056154,40.7240199937
8.0,109.755924096,31.027983445,25.3323589118
12.0,53.7968131191,8.5999166024,6.16066944304
16.0,64.1481917302,13.370400995,13.1354843829
20.0,66.1040682887,9.0577041479,12.6358903023
24.0,39.6471399856,4.63220588524,4.0337872272
28.0,38.0299698525,4.67303762765,3.86756792836
32.0,35.7151107016,4.62352479215,3.7261062651
36.0,34.1754262276,5.10041984154,3.7056342591
40.0,33.6989609898,6.52219280685,4.20230475344
44.0,34.087014765,11.9536560531,5.18286981052
48.0,56.6165389412,30.1567339463,20.3138163059
52.0,28.8971396503,32.0027896494,18.8402066662
56.0,28.0696918468,31.6383182708,18.1826039974
60.0,27.9442596131,31.8274595981,18.111487411
64.0,27.7299975264,31.3378821223,17.9238256315
68.0,27.1668643944,31.1029002181,17.5644887019
72.0,26.9858476029,30.8882076754,17.4832280568
76.0,26.4400966923,30.5229892853,17.1494130154
80.0,26.3944017635,30.1525056604,17.0878661318
84.0,26.2076561313,30.0672665439,16.914065087
88.0,25.6562629183,30.1725088131,16.6394076397
92.0,25.655129115,29.5119488397,16.5998540507
96.0,25.2505362974,29.7313913176,16.2869607156
100.0,25.2889798535,29.5292465439,16.3027999999
104.0,25.1980204975,29.2622696567,16.2822270333
108.0,25.0761180512,29.2366850149,16.1684284866
112.0,24.8234978377,28.9674203757,16.0479889339
116.0,24.5632195812,29.0130382742,15.8134080564
120.0,24.1978779118,28.7696760956,15.6639602789
124.0,24.6220552557,28.9296007692,15.909342758
128.0,24.2185964875,28.1854061321,15.6141161308
132.0,24.1148237575,28.5061378242,15.6277718286
136.0,23.9220189042,28.3919753467,15.3616280682
140.0,23.5560160101,28.0182121453,15.2098787836
