x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.5501471345,0.3344716524,0.340751613672
4.0,19.7356787261,1.8654151187,1.53471790338
8.0,38.8617620915,1.82036407575,1.69075235516
12.0,151.800332199,10.7994411539,12.9674369419
16.0,106.430276207,3.218318891,3.1832928584
20.0,107.445844645,4.589024603,5.22576298176
24.0,129.919030939,15.201126773,14.4348151213
28.0,103.618609247,22.397052272,18.3108116754
32.0,74.1597613912,15.6770537247,11.7989959925
36.0,54.9884223933,9.14018600753,6.90620170283
40.0,55.5035938377,8.9293102317,6.77159234922
44.0,53.3507177174,8.65012481384,6.47904025347
48.0,51.2142297745,8.60460981885,6.92035438895
52.0,52.1084262644,9.89822632775,7.43920876715
56.0,51.8438068365,10.4999373366,7.5348005771
60.0,51.5602769609,11.0260819801,7.44535006075
64.0,50.4665979916,10.4549935337,7.2929096145
68.0,47.9492757501,9.74942383608,6.94149838705
72.0,49.2387202001,10.4298490431,7.2289116991
76.0,49.0556010301,9.6425083594,6.7697220285
80.0,48.099346611,10.6773673246,7.15768569263
84.0,49.5674283778,11.4058882818,7.55105309722
88.0,48.8654160944,13.1217882377,7.9374724557
92.0,47.9738323863,13.652934202,8.0488166176
96.0,64.6621173531,25.2969056411,16.5732095498
100.0,62.4351532361,25.6831857991,16.8756088833
104.0,59.5107834599,25.5251302227,17.2332867925
108.0,59.3354857153,25.8330026897,16.3242949477
112.0,57.644632436,26.8169527731,17.0521395909
116.0,56.4185792788,26.9269849984,17.6018021973
120.0,55.9513027742,27.0716494272,16.8772770219
124.0,54.1998470664,27.5720329623,17.0993140697
128.0,53.7394939483,27.2979409238,17.0647735049
132.0,53.4541749763,27.0590651425,16.6658537283
136.0,53.2858890994,27.8114915177,17.2076877649
140.0,51.9306010563,26.8407158637,17.2023420409
