x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.490274327,0.376480239011,0.319299277352
4.0,108.633522604,40.442928943,40.9301863353
8.0,16.4937254655,4.02978939243,2.6998885211
12.0,80.558462977,32.734938076,23.1236802831
16.0,83.5851903562,30.0951964365,22.8636632597
20.0,81.1215651155,29.2920839637,20.9055037487
24.0,63.821632108,22.5547210782,14.1884245657
28.0,57.1450915466,19.3669113778,11.6620246128
32.0,72.6839642361,28.5144052575,20.2961641915
36.0,50.316797405,18.8310881407,9.7074280754
40.0,64.9267449048,29.0007848223,21.0271678315
44.0,64.6564311094,28.2290929098,18.850351633
48.0,62.549804794,28.3337895139,18.8161284611
52.0,62.3757648694,28.3799812781,18.5955853716
56.0,60.5679707497,28.9592093143,18.7671267229
60.0,61.0611357667,27.7121199857,18.1476517357
64.0,59.3438163897,28.3535110453,18.1719473864
68.0,58.2017749345,27.5242274474,18.5912311379
72.0,59.4906101873,27.4115500292,18.1386665638
76.0,59.4562150511,27.9953781379,18.1307952759
80.0,60.3094990674,26.7818237466,17.7508786886
84.0,59.9058486467,26.650231735,17.0377737282
88.0,59.3523158473,27.0580903132,17.8814627288
92.0,59.6993552171,26.9046150158,17.6675756722
96.0,59.4545299385,26.3817529688,17.3181968649
100.0,57.2992880166,27.7101109621,17.4523254487
104.0,56.1543325292,27.1703767563,16.9728976746
108.0,54.0838807134,27.1394559793,17.2843646631
112.0,52.5766809561,28.2752280707,17.608036308
116.0,51.423777189,28.0893185749,17.8065292286
120.0,26.2041950446,30.3475686938,16.9753704472
124.0,26.2467242812,30.4355930238,16.9769958419
128.0,25.8264863648,29.9872520571,16.7965683504
132.0,25.6923785791,29.9572600469,16.5728680592
136.0,25.5683666018,30.0001687869,16.5281213599
140.0,25.8705820477,29.3779321248,16.8905202999
