x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.4349791917,0.379994800467,0.305927546692
4.0,107.623492509,40.646528372,40.8773141712
8.0,122.194536787,21.8803214078,18.8777575354
12.0,100.687549068,9.43841613082,7.7896867073
16.0,94.8214030798,11.7312000905,9.9830790271
20.0,81.4899590956,11.2102656079,9.03986286385
24.0,62.8971409935,19.5285774579,13.135787182
28.0,57.1271513632,16.740949522,10.9511942624
32.0,50.6380897168,15.6564364867,8.30972264775
36.0,65.1789518948,28.7168984741,19.060852873
40.0,62.7377379457,29.0857806275,18.7802743476
44.0,60.7124270006,28.6980255215,18.5071164695
48.0,58.6840417204,29.0058113499,18.6496342099
52.0,58.1998328398,29.4359765132,18.5231827545
56.0,57.2919147818,28.5543367221,18.3233265975
60.0,55.0593942214,29.2641478144,18.640698064
64.0,51.9045936121,29.962255105,18.916878518
68.0,29.4684163297,32.6228454993,19.2641377745
72.0,28.9888335249,32.2457370409,18.7783212974
76.0,28.5050288135,31.6097090751,18.4131393482
80.0,28.4199206376,31.7588683503,18.5276294319
84.0,28.5145469591,31.7895427808,18.5263026909
88.0,28.2774126812,31.4888912103,18.31458094
92.0,27.3574294738,30.8180891258,17.6882243044
96.0,27.4121976606,30.4973946522,17.6053182026
100.0,27.4809451694,30.6995444246,17.8378283984
104.0,27.0201609032,30.9835704851,17.4353101968
108.0,27.1476485172,30.885426692,17.6413809484
112.0,26.7605054742,30.3843030384,17.381696707
116.0,26.6857781657,30.3624446556,17.3840709258
120.0,26.5419395656,30.2662911138,17.1900186044
124.0,26.2802825874,30.5495374231,16.9475483812
128.0,26.1624357572,29.9016687672,16.9037506363
132.0,25.4401068611,29.5735680565,16.5278285313
136.0,26.2716613246,30.2599193391,17.1128242714
140.0,25.9079974532,29.557222641,16.7387035876
