x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.547197008,0.31956399539,0.39521454529
4.0,115.405620772,38.4636095928,35.845041056
8.0,101.442592191,32.1112468297,26.7994396688
12.0,94.4080433063,16.8608312707,13.2701050516
16.0,70.5612404705,11.816112579,8.66816315521
20.0,57.2748074798,6.9790041544,5.7408943351
24.0,59.6057155112,28.1266071704,13.7349003351
28.0,55.4226177968,30.7701386842,14.8385069438
32.0,55.137926277,32.0565492037,16.8942378683
36.0,50.0470579911,33.1488091323,16.0911898155
40.0,50.8651819924,32.3671575319,16.6834155618
44.0,42.0331503872,33.1170097303,13.4815016552
48.0,37.4635020887,33.4145517454,15.867384904
52.0,45.298385935,32.6590987804,16.2818590202
56.0,47.8182124101,31.4750890127,16.9917348867
60.0,55.1526529622,29.4691283475,19.7708538992
64.0,54.1238205886,29.6514480826,19.1560217687
68.0,53.8260059778,29.5340850343,19.5219199011
72.0,29.1240050705,31.9524578345,18.8743776773
76.0,28.2314888529,31.6851073477,18.3084166114
80.0,28.4432596823,31.2891962958,18.5253067287
84.0,28.368322975,31.7345301976,18.3368184179
88.0,27.7318174474,31.3245999123,18.0035559883
92.0,27.7899842134,31.3484225798,18.1381996028
96.0,27.4991920392,31.2682547752,17.8181864968
100.0,27.5570128812,30.960198791,17.9136028649
104.0,27.0171642883,30.9410928181,17.4934928422
108.0,26.9317691222,30.8492640005,17.5147264942
112.0,26.5302068028,30.3509376799,17.2704175037
116.0,26.3880953147,30.4577446659,17.1575846878
120.0,26.4609247707,30.2945372363,17.1559673085
124.0,26.3477371202,30.4093363513,17.1549053434
128.0,25.6380487127,29.4704293683,16.5903580481
132.0,26.1410645524,30.1323681058,17.0264428266
136.0,25.7775576613,29.4575647191,16.7103088507
140.0,25.8447627474,29.6342859131,16.7574098558
