x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.5018592126,0.39963755684,0.333427794796
4.0,109.155380077,40.111624553,40.1986234597
8.0,14.2081598038,7.1918237646,7.00860275561
12.0,62.4449402783,3.80163799318,3.7975871521
16.0,92.8271642279,13.3199105361,9.84709946263
20.0,91.9601276858,12.4772798056,9.86927057892
24.0,97.9013394145,15.7246433665,17.3660053768
28.0,84.5333780811,11.6169122922,11.8911181458
32.0,76.6463393881,10.5063030499,18.5022662408
36.0,73.6816610771,11.3341506447,18.8085204357
40.0,62.5030635446,16.5336222572,16.0270256129
44.0,59.9612788415,17.5645284992,14.1018313261
48.0,53.7940634984,19.0581887523,8.77214161474
52.0,49.4827271814,14.4222073572,6.9651058147
56.0,47.3598571208,10.2706766486,6.09205917905
60.0,45.2990245605,7.08304245886,5.6888775076
64.0,45.6108252901,6.8664389555,5.5551043082
68.0,47.3395067252,7.26973767965,6.04459021961
72.0,48.0948854924,7.68805624628,6.02686895816
76.0,46.9060651258,8.0798113443,6.5656921204
80.0,46.6598940458,9.07332037846,6.51316517528
84.0,48.4103360697,11.2575215501,7.23675671565
88.0,51.0056092649,17.3802317533,9.3562248521
92.0,63.0265258947,25.9954801727,16.8501033785
96.0,59.3256313987,26.5678151625,16.7471829712
100.0,57.8241029735,27.1296609322,17.7952557744
104.0,55.7229483312,27.4803061756,17.4092792315
108.0,55.6640758756,27.2963010126,17.1556337196
112.0,54.95026031,27.0390694293,17.39388079
116.0,53.7168554276,27.7948542295,17.5733013211
120.0,53.8691222184,27.1824790725,17.3975014988
124.0,54.0373301332,27.1571813148,17.2815284051
128.0,53.9187132864,27.4028429256,17.3978054097
132.0,52.361240144,27.3240906148,17.0560529544
136.0,53.4085698856,27.0205274377,16.9864087
140.0,53.6596467037,27.3260762959,17.199130963
