x_interp,Uniform_MassLoss_Model_Values
0,0
4,308.321220615
8,151.475027327
12,99.1352337085
16,72.9675694722
20,57.2348662472
24,46.7397794469
28,39.2788927705
32,33.652128958
36,29.2748922973
40,25.7734518916
44,22.9096979268
48,20.486335123
52,18.4711615212
56,16.7081075387
60,15.1785140153
64,13.8393589715
68,12.6577515799
72,11.6081100859
76,10.6702309113
80,9.78925135682
84,8.99098500511
88,8.26491538137
92,7.60236815811
96,6.99610284714
100,6.40140280217
104,5.85209649857
108,5.34404468193
112,4.83510608482
116,4.36120661184
120,3.88140746029
124,3.43275087023
128,2.93673758447
132,2.47049369366
136,1.95728867406
140,1.32279259595
